year,age,suicides_no,population
1993,80,2649,5043500
1993,65,4797,18163000
1993,30,5218,20942000
1993,45,7976,34205000
1993,19,4119,18399400
1993,45,2362,35236400
1993,65,1304,21398900
1993,80,519,9090400
1993,30,1089,20933400
1993,19,730,17630000
1993,10,233,18972100
1993,10,88,18078200
1994,80,2629,5185500
1994,30,5295,20676800
1994,65,4498,18273200
1994,19,4302,18347400
1994,45,8199,35239700
1994,45,2472,36290200
1994,80,514,9261000
1994,65,1179,21456100
1994,30,1059,20677400
1994,19,654,17595500
1994,10,234,19259500
1994,10,88,18351800
1995,80,2580,5346600
1995,30,5234,20432000
1995,65,4607,18386200
1995,45,8545,36243300
1995,19,4132,18352000
1995,45,2454,37303100
1995,80,516,9426600
1995,65,1157,21504100
1995,30,1058,20441200
1995,19,652,17594600
1995,10,260,19528500
1995,10,77,18606000
1996,80,2586,5556200
1996,65,4613,18490700
1996,45,8984,37405100
1996,30,4848,20191300
1996,19,3724,18617800
1996,45,2594,38357900
1996,65,1118,21540200
1996,30,1013,20176900
1996,80,463,9635400
1996,19,634,17604000
1996,10,225,19681500
1996,10,77,18740800
1997,80,2566,5740700
1997,65,4514,18659400
1997,30,4684,19810400
1997,45,8920,38339600
1997,19,3559,18805800
1997,45,2758,39291000
1997,80,499,9836300
1997,65,1095,21652100
1997,30,988,19799100
1997,19,627,17773900
1997,10,233,19860900
1997,10,74,18917200
1998,80,2686,5948900
1998,45,9192,39000700
1998,65,4466,19055300
1998,30,4404,19253800
1998,19,3532,19041700
1998,45,2776,40104100
1998,80,520,10057000
1998,65,1094,22016000
1998,30,961,19520600
1998,19,603,18171800
1998,10,241,20049800
1998,10,83,19112800
1999,80,2549,6111376
1999,45,8873,39753404
1999,30,4194,18826288
1999,65,4306,19349103
1999,19,3326,19334049
1999,45,2674,40861603
1999,30,912,19109524
1999,65,1061,22258230
1999,80,469,10210401
1999,19,575,18439463
1999,10,194,20219664
1999,10,50,19275566
2000,80,2589,6106351
2000,45,9263,40945028
2000,65,4153,19948630
2000,30,3938,20120529
2000,19,3424,20078818
2000,45,2736,41881451
2000,65,1084,22717040
2000,30,854,19771195
2000,80,425,10494416
2000,19,570,19105073
2000,10,244,21043474
2000,10,63,20034103
2001,80,2549,6285825
2001,45,9684,41638996
2001,65,4603,20451417
2001,30,4199,20013572
2001,19,3409,20485156
2001,45,2893,42567863
2001,65,1146,23170384
2001,30,871,19593734
2001,80,412,10691894
2001,19,562,19463211
2001,10,214,21032860
2001,10,65,20032634
2002,80,2642,6470864
2002,45,10101,42042827
2002,65,4890,21085316
2002,30,4135,20202776
2002,19,3432,20821269
2002,45,3058,42957716
2002,65,1191,23790625
2002,30,911,19725528
2002,80,443,10856838
2002,19,578,19768514
2002,10,199,21012559
2002,10,65,20024727
2003,80,2499,6599131
2003,45,10025,42177315
2003,65,4941,21773685
2003,30,4156,20222486
2003,19,3381,21182602
2003,45,3058,42997878
2003,65,1237,24463095
2003,30,909,19650112
2003,80,414,10983008
2003,19,607,20023561
2003,10,194,20976656
2003,10,56,19991981
2004,80,2496,6726102
2004,45,10145,42486552
2004,65,4989,22427063
2004,30,4142,20336031
2004,19,3596,21438383
2004,45,3399,43240905
2004,65,1301,25115333
2004,30,932,19695906
2004,80,423,11104411
2004,19,720,20262722
2004,10,187,20860278
2004,10,98,19890450
2005,80,2610,6883241
2005,45,10332,42835394
2005,65,5190,23156114
2005,30,4066,20421260
2005,19,3498,21647159
2005,45,3209,43509335
2005,65,1364,25839240
2005,30,924,19721652
2005,80,450,11267059
2005,19,714,20429690
2005,10,204,20675232
2005,10,68,19721304
2006,80,2494,6986609
2006,45,10641,43139910
2006,65,5431,23894147
2006,30,4053,20564653
2006,19,3528,21844954
2006,45,3376,43805214
2006,65,1536,26609380
2006,30,932,19851326
2006,80,421,11356899
2006,19,661,20590472
2006,10,153,20640120
2006,10,66,19697164
2007,80,2566,7056824
2007,45,10978,42992076
2007,65,5830,24661084
2007,30,4281,20531378
2007,19,3481,22014323
2007,45,3525,43607902
2007,65,1684,27395858
2007,30,997,19839678
2007,80,411,11421017
2007,19,659,20765167
2007,10,131,20659096
2007,10,53,19714203
2008,80,2531,7072366
2008,45,11371,43002471
2008,65,6558,25698503
2008,30,4273,20007152
2008,19,3560,22184611
2008,45,3619,42893858
2008,65,1703,28307998
2008,30,1027,19812423
2008,80,428,11038522
2008,19,738,21149435
2008,10,154,21074651
2008,10,68,20113575
2009,80,2552,7168575
2009,45,11613,42932194
2009,65,6851,26664733
2009,30,4293,20205941
2009,19,3595,22343137
2009,45,3664,42836835
2009,65,1875,29296258
2009,30,1027,19992900
2009,19,776,21299140
2009,80,389,11101144
2009,10,175,21139852
2009,10,90,20181953
2010,80,2617,7263596
2010,45,11767,42798501
2010,65,7287,27667895
2010,30,4645,20409866
2010,19,3772,22463069
2010,45,3604,42711237
2010,65,2071,30326595
2010,30,1092,20180858
2010,19,830,21395712
2010,80,403,11163521
2010,10,187,21207667
2010,10,87,20250632
2011,80,2721,7448796
2011,45,11681,42566273
2011,65,7572,28556351
2011,30,4862,20698307
2011,19,3959,22622559
2011,45,3776,42485156
2011,65,2128,31268702
2011,30,1238,20408037
2011,19,863,21552069
2011,80,421,11270969
2011,10,201,21185153
2011,10,86,20251453
2012,80,2853,7633574
2012,45,11763,42326226
2012,65,8032,29473157
2012,30,4985,21028158
2012,19,3918,22713083
2012,45,3857,42238495
2012,65,2264,32244829
2012,30,1231,20667924
2012,19,954,21653970
2012,80,428,11375645
2012,10,226,21198150
2012,10,85,20273917
2013,80,2990,7816638
2013,65,8445,30405404
2013,45,11396,42085688
2013,30,5063,21386891
2013,19,3903,22735631
2013,45,3776,41983845
2013,65,2484,33229667
2013,30,1285,20951958
2013,19,975,21698877
2013,80,431,11486590
2013,10,252,21233001
2013,10,143,20308672
2014,80,3106,7994948
2014,65,8961,31339875
2014,45,11455,41858354
2014,30,5222,21760455
2014,19,4089,22700273
2014,45,4018,41742299
2014,65,2676,34193742
2014,30,1347,21250636
2014,19,990,21691057
2014,80,477,11616299
2014,10,277,21264881
2014,10,151,20336916
2015,80,3171,8171136
2015,65,9068,32264697
2015,45,11634,41658010
2015,30,5503,22137097
2015,19,4359,22615073
2015,45,4053,41531809
2015,65,2872,35115610
2015,30,1444,21555712
2015,19,1132,21633813
2015,80,540,11778666
2015,10,255,21273987
2015,10,158,20342901
